Epoch Number, Total Squared Error, 
0, 0.178489, 
1, 0.179655, 
2, 0.161881, 
3, 0.160942, 
4, 0.160154, 
5, 0.159385, 
6, 0.158619, 
7, 0.157839, 
8, 0.157031, 
9, 0.156180, 
10, 0.155276, 
11, 0.154314, 
12, 0.153289, 
13, 0.152203, 
14, 0.151063, 
15, 0.149877, 
16, 0.148656, 
17, 0.147409, 
18, 0.146146, 
19, 0.144873, 
20, 0.143598, 
21, 0.142329, 
22, 0.141078, 
23, 0.139858, 
24, 0.138685, 
25, 0.137573, 
26, 0.136534, 
27, 0.135577, 
28, 0.134704, 
29, 0.133917, 
30, 0.133211, 
31, 0.132580, 
32, 0.132014, 
33, 0.131505, 
34, 0.131044, 
35, 0.130623, 
36, 0.130235, 
37, 0.129875, 
38, 0.129538, 
39, 0.129220, 
40, 0.128919, 
41, 0.128633, 
42, 0.128362, 
43, 0.128104, 
44, 0.127860, 
45, 0.127628, 
46, 0.127409, 
47, 0.127202, 
48, 0.127007, 
49, 0.126825, 
50, 0.126654, 
51, 0.126494, 
52, 0.126345, 
53, 0.126206, 
54, 0.126077, 
55, 0.125956, 
56, 0.125844, 
57, 0.125740, 
58, 0.125642, 
59, 0.125552, 
60, 0.125467, 
61, 0.125387, 
62, 0.125312, 
63, 0.125242, 
64, 0.125176, 
65, 0.125113, 
66, 0.125054, 
67, 0.124997, 
68, 0.124943, 
69, 0.124891, 
70, 0.124841, 
71, 0.124794, 
72, 0.124747, 
73, 0.124703, 
74, 0.124659, 
75, 0.124617, 
76, 0.124576, 
77, 0.124536, 
78, 0.124497, 
79, 0.124458, 
80, 0.124420, 
81, 0.124383, 
82, 0.124346, 
83, 0.124310, 
84, 0.124274, 
85, 0.124239, 
86, 0.124204, 
87, 0.124170, 
88, 0.124136, 
89, 0.124102, 
90, 0.124068, 
91, 0.124035, 
92, 0.124002, 
93, 0.123969, 
94, 0.123936, 
95, 0.123904, 
96, 0.123872, 
97, 0.123840, 
98, 0.123808, 
99, 0.123776, 
100, 0.123744, 
101, 0.123713, 
102, 0.123682, 
103, 0.123651, 
104, 0.123620, 
105, 0.123589, 
106, 0.123558, 
107, 0.123528, 
108, 0.123497, 
109, 0.123467, 
110, 0.123437, 
111, 0.123407, 
112, 0.123377, 
113, 0.123347, 
114, 0.123318, 
115, 0.123288, 
116, 0.123259, 
117, 0.123229, 
118, 0.123200, 
119, 0.123171, 
120, 0.123142, 
121, 0.123113, 
122, 0.123084, 
123, 0.123056, 
124, 0.123027, 
125, 0.122999, 
126, 0.122971, 
127, 0.122943, 
128, 0.122914, 
129, 0.122887, 
130, 0.122859, 
131, 0.122831, 
132, 0.122803, 
133, 0.122776, 
134, 0.122748, 
135, 0.122721, 
136, 0.122694, 
137, 0.122667, 
138, 0.122640, 
139, 0.122613, 
140, 0.122586, 
141, 0.122560, 
142, 0.122533, 
143, 0.122507, 
144, 0.122480, 
145, 0.122454, 
146, 0.122428, 
147, 0.122402, 
148, 0.122376, 
149, 0.122350, 
150, 0.122324, 
151, 0.122299, 
152, 0.122273, 
153, 0.122247, 
154, 0.122222, 
155, 0.122197, 
156, 0.122172, 
157, 0.122146, 
158, 0.122121, 
159, 0.122097, 
160, 0.122072, 
161, 0.122047, 
