Epoch Number, Total Squared Error, 
0, 0.213459, 
1, 0.205048, 
2, 0.191798, 
3, 0.190631, 
4, 0.189454, 
5, 0.188284, 
6, 0.187068, 
7, 0.185763, 
8, 0.184338, 
9, 0.182772, 
10, 0.181062, 
11, 0.179231, 
12, 0.177332, 
13, 0.175443, 
14, 0.173655, 
15, 0.172049, 
16, 0.170674, 
17, 0.169541, 
18, 0.168628, 
19, 0.167896, 
20, 0.167305, 
21, 0.166817, 
22, 0.166404, 
23, 0.166046, 
24, 0.165729, 
25, 0.165441, 
26, 0.165177, 
27, 0.164930, 
28, 0.164698, 
29, 0.164476, 
30, 0.164263, 
31, 0.164058, 
32, 0.163857, 
33, 0.163661, 
34, 0.163468, 
35, 0.163277, 
36, 0.163088, 
37, 0.162899, 
38, 0.162711, 
39, 0.162522, 
40, 0.162332, 
41, 0.162141, 
42, 0.161947, 
43, 0.161752, 
44, 0.161554, 
45, 0.161354, 
46, 0.161150, 
47, 0.160943, 
48, 0.160733, 
49, 0.160519, 
50, 0.160302, 
51, 0.160080, 
52, 0.159855, 
53, 0.159626, 
54, 0.159394, 
55, 0.159157, 
56, 0.158917, 
57, 0.158674, 
58, 0.158428, 
59, 0.158180, 
60, 0.157929, 
61, 0.157676, 
62, 0.157422, 
63, 0.157167, 
64, 0.156912, 
65, 0.156657, 
66, 0.156404, 
67, 0.156153, 
68, 0.155905, 
69, 0.155661, 
70, 0.155422, 
71, 0.155187, 
72, 0.154959, 
73, 0.154737, 
74, 0.154523, 
75, 0.154317, 
76, 0.154118, 
77, 0.153928, 
78, 0.153746, 
79, 0.153572, 
80, 0.153407, 
81, 0.153249, 
82, 0.153098, 
83, 0.152954, 
84, 0.152817, 
85, 0.152685, 
86, 0.152558, 
87, 0.152436, 
88, 0.152318, 
89, 0.152203, 
90, 0.152091, 
91, 0.151982, 
92, 0.151875, 
93, 0.151769, 
94, 0.151665, 
95, 0.151562, 
96, 0.151460, 
97, 0.151358, 
98, 0.151257, 
99, 0.151156, 
100, 0.151056, 
101, 0.150955, 
102, 0.150855, 
103, 0.150754, 
104, 0.150653, 
105, 0.150553, 
106, 0.150452, 
107, 0.150351, 
108, 0.150250, 
109, 0.150148, 
110, 0.150047, 
111, 0.149946, 
112, 0.149844, 
113, 0.149743, 
114, 0.149642, 
115, 0.149541, 
116, 0.149439, 
117, 0.149339, 
118, 0.149238, 
119, 0.149138, 
120, 0.149038, 
121, 0.148938, 
122, 0.148839, 
123, 0.148741, 
124, 0.148643, 
125, 0.148546, 
126, 0.148449, 
127, 0.148353, 
128, 0.148259, 
129, 0.148164, 
130, 0.148071, 
131, 0.147979, 
132, 0.147888, 
133, 0.147798, 
134, 0.147709, 
135, 0.147620, 
136, 0.147534, 
137, 0.147448, 
138, 0.147363, 
139, 0.147280, 
140, 0.147198, 
141, 0.147117, 
142, 0.147037, 
143, 0.146958, 
144, 0.146881, 
145, 0.146805, 
146, 0.146730, 
147, 0.146656, 
148, 0.146583, 
149, 0.146512, 
150, 0.146442, 
151, 0.146373, 
152, 0.146305, 
153, 0.146238, 
154, 0.146172, 
155, 0.146108, 
156, 0.146044, 
157, 0.145982, 
158, 0.145920, 
159, 0.145859, 
160, 0.145800, 
161, 0.145741, 
162, 0.145683, 
163, 0.145626, 
164, 0.145570, 
165, 0.145515, 
166, 0.145460, 
167, 0.145407, 
168, 0.145354, 
169, 0.145301, 
170, 0.145250, 
171, 0.145199, 
172, 0.145149, 
173, 0.145099, 
174, 0.145050, 
175, 0.145002, 
176, 0.144954, 
177, 0.144907, 
178, 0.144861, 
179, 0.144815, 
180, 0.144769, 
181, 0.144725, 
182, 0.144680, 
183, 0.144636, 
184, 0.144593, 
185, 0.144550, 
186, 0.144507, 
187, 0.144466, 
188, 0.144424, 
189, 0.144383, 
190, 0.144342, 
191, 0.144302, 
192, 0.144262, 
193, 0.144223, 
194, 0.144184, 
195, 0.144145, 
196, 0.144107, 
197, 0.144070, 
198, 0.144032, 
199, 0.143995, 
200, 0.143958, 
201, 0.143922, 
202, 0.143886, 
203, 0.143851, 
204, 0.143815, 
205, 0.143780, 
206, 0.143746, 
207, 0.143711, 
208, 0.143677, 
209, 0.143643, 
210, 0.143610, 
211, 0.143577, 
212, 0.143543, 
213, 0.143511, 
214, 0.143478, 
215, 0.143446, 
216, 0.143413, 
217, 0.143381, 
218, 0.143349, 
219, 0.143318, 
220, 0.143286, 
221, 0.143254, 
222, 0.143223, 
223, 0.143192, 
224, 0.143160, 
225, 0.143129, 
226, 0.143098, 
227, 0.143067, 
228, 0.143036, 
229, 0.143005, 
230, 0.142974, 
231, 0.142942, 
232, 0.142911, 
233, 0.142880, 
234, 0.142848, 
235, 0.142817, 
236, 0.142785, 
237, 0.142754, 
238, 0.142722, 
239, 0.142690, 
240, 0.142658, 
241, 0.142626, 
242, 0.142593, 
243, 0.142561, 
244, 0.142528, 
245, 0.142495, 
246, 0.142462, 
247, 0.142428, 
248, 0.142395, 
249, 0.142361, 
250, 0.142327, 
251, 0.142292, 
252, 0.142258, 
253, 0.142223, 
254, 0.142188, 
255, 0.142152, 
256, 0.142117, 
257, 0.142081, 
258, 0.142044, 
259, 0.142008, 
260, 0.141971, 
261, 0.141934, 
262, 0.141896, 
263, 0.141858, 
264, 0.141820, 
265, 0.141782, 
266, 0.141743, 
267, 0.141704, 
268, 0.141665, 
269, 0.141625, 
270, 0.141585, 
271, 0.141544, 
272, 0.141504, 
273, 0.141463, 
274, 0.141421, 
275, 0.141380, 
276, 0.141338, 
277, 0.141295, 
278, 0.141252, 
279, 0.141209, 
280, 0.141166, 
281, 0.141122, 
282, 0.141078, 
283, 0.141034, 
284, 0.140989, 
285, 0.140944, 
286, 0.140899, 
287, 0.140853, 
288, 0.140807, 
289, 0.140760, 
290, 0.140714, 
291, 0.140667, 
292, 0.140619, 
293, 0.140572, 
294, 0.140524, 
295, 0.140475, 
296, 0.140427, 
297, 0.140378, 
298, 0.140329, 
299, 0.140279, 
300, 0.140229, 
301, 0.140179, 
302, 0.140129, 
303, 0.140078, 
304, 0.140027, 
305, 0.139976, 
306, 0.139924, 
307, 0.139872, 
308, 0.139820, 
309, 0.139768, 
310, 0.139715, 
311, 0.139662, 
312, 0.139609, 
313, 0.139556, 
314, 0.139503, 
315, 0.139449, 
316, 0.139395, 
317, 0.139341, 
318, 0.139286, 
319, 0.139232, 
320, 0.139177, 
321, 0.139122, 
322, 0.139067, 
323, 0.139012, 
324, 0.138957, 
325, 0.138902, 
326, 0.138846, 
327, 0.138790, 
328, 0.138735, 
329, 0.138679, 
330, 0.138623, 
331, 0.138567, 
332, 0.138511, 
333, 0.138455, 
334, 0.138399, 
335, 0.138342, 
336, 0.138286, 
337, 0.138230, 
338, 0.138174, 
339, 0.138117, 
340, 0.138061, 
341, 0.138005, 
342, 0.137949, 
343, 0.137892, 
344, 0.137836, 
345, 0.137780, 
346, 0.137724, 
347, 0.137668, 
348, 0.137612, 
349, 0.137557, 
350, 0.137501, 
351, 0.137445, 
352, 0.137390, 
353, 0.137335, 
354, 0.137279, 
355, 0.137224, 
356, 0.137169, 
357, 0.137115, 
358, 0.137060, 
359, 0.137006, 
360, 0.136951, 
361, 0.136897, 
362, 0.136843, 
363, 0.136789, 
364, 0.136736, 
365, 0.136682, 
366, 0.136629, 
367, 0.136576, 
368, 0.136523, 
369, 0.136470, 
370, 0.136418, 
371, 0.136366, 
372, 0.136314, 
373, 0.136262, 
374, 0.136210, 
375, 0.136159, 
376, 0.136108, 
377, 0.136057, 
378, 0.136006, 
379, 0.135956, 
380, 0.135906, 
381, 0.135856, 
382, 0.135806, 
383, 0.135757, 
384, 0.135708, 
385, 0.135659, 
386, 0.135610, 
387, 0.135561, 
388, 0.135513, 
389, 0.135465, 
390, 0.135417, 
391, 0.135370, 
392, 0.135323, 
393, 0.135276, 
394, 0.135229, 
395, 0.135182, 
396, 0.135136, 
397, 0.135090, 
398, 0.135044, 
399, 0.134999, 
400, 0.134953, 
401, 0.134908, 
402, 0.134863, 
403, 0.134819, 
404, 0.134774, 
405, 0.134730, 
406, 0.134686, 
407, 0.134643, 
408, 0.134599, 
409, 0.134556, 
410, 0.134513, 
411, 0.134471, 
412, 0.134428, 
413, 0.134386, 
414, 0.134344, 
415, 0.134302, 
