Epoch Number, Total Squared Error, 
0, 0.193548, 
1, 0.172533, 
2, 0.168720, 
3, 0.167575, 
4, 0.166404, 
5, 0.165156, 
6, 0.163777, 
7, 0.162212, 
8, 0.160412, 
9, 0.158340, 
10, 0.155989, 
11, 0.153400, 
12, 0.150676, 
13, 0.147970, 
14, 0.145443, 
15, 0.143219, 
16, 0.141348, 
17, 0.139815, 
18, 0.138568, 
19, 0.137549, 
20, 0.136705, 
21, 0.136000, 
22, 0.135404, 
23, 0.134895, 
24, 0.134458, 
25, 0.134079, 
26, 0.133749, 
27, 0.133458, 
28, 0.133199, 
29, 0.132967, 
30, 0.132758, 
31, 0.132567, 
32, 0.132391, 
33, 0.132227, 
34, 0.132074, 
35, 0.131930, 
36, 0.131793, 
37, 0.131662, 
38, 0.131537, 
39, 0.131415, 
40, 0.131297, 
41, 0.131182, 
42, 0.131069, 
43, 0.130958, 
44, 0.130849, 
45, 0.130740, 
46, 0.130632, 
47, 0.130524, 
48, 0.130417, 
49, 0.130309, 
50, 0.130200, 
51, 0.130091, 
52, 0.129981, 
53, 0.129870, 
54, 0.129758, 
55, 0.129644, 
56, 0.129529, 
57, 0.129412, 
58, 0.129293, 
59, 0.129172, 
60, 0.129050, 
61, 0.128925, 
62, 0.128798, 
63, 0.128670, 
64, 0.128540, 
65, 0.128408, 
66, 0.128275, 
67, 0.128140, 
68, 0.128004, 
69, 0.127867, 
70, 0.127730, 
71, 0.127592, 
72, 0.127454, 
73, 0.127317, 
74, 0.127180, 
75, 0.127045, 
76, 0.126911, 
77, 0.126779, 
78, 0.126649, 
79, 0.126521, 
80, 0.126397, 
81, 0.126275, 
82, 0.126156, 
83, 0.126041, 
84, 0.125929, 
85, 0.125821, 
86, 0.125717, 
87, 0.125615, 
88, 0.125518, 
89, 0.125424, 
90, 0.125333, 
91, 0.125246, 
92, 0.125161, 
93, 0.125080, 
94, 0.125001, 
95, 0.124925, 
96, 0.124852, 
97, 0.124780, 
98, 0.124711, 
99, 0.124644, 
100, 0.124579, 
101, 0.124516, 
102, 0.124454, 
103, 0.124393, 
104, 0.124334, 
105, 0.124276, 
106, 0.124220, 
107, 0.124164, 
108, 0.124109, 
109, 0.124055, 
110, 0.124002, 
111, 0.123949, 
112, 0.123898, 
113, 0.123847, 
114, 0.123796, 
115, 0.123746, 
116, 0.123697, 
117, 0.123648, 
118, 0.123599, 
119, 0.123551, 
120, 0.123503, 
121, 0.123456, 
122, 0.123409, 
123, 0.123363, 
124, 0.123317, 
125, 0.123271, 
126, 0.123226, 
127, 0.123181, 
128, 0.123137, 
129, 0.123093, 
130, 0.123049, 
131, 0.123006, 
132, 0.122963, 
133, 0.122920, 
134, 0.122878, 
135, 0.122836, 
136, 0.122795, 
137, 0.122754, 
138, 0.122713, 
139, 0.122673, 
140, 0.122633, 
141, 0.122594, 
142, 0.122555, 
143, 0.122517, 
144, 0.122478, 
145, 0.122441, 
146, 0.122403, 
147, 0.122366, 
148, 0.122330, 
149, 0.122294, 
150, 0.122258, 
151, 0.122223, 
152, 0.122188, 
153, 0.122153, 
154, 0.122119, 
155, 0.122085, 
156, 0.122052, 
157, 0.122019, 
158, 0.121986, 
159, 0.121954, 
160, 0.121922, 
161, 0.121890, 
162, 0.121859, 
163, 0.121828, 
164, 0.121797, 
165, 0.121767, 
166, 0.121737, 
167, 0.121707, 
168, 0.121678, 
169, 0.121649, 
170, 0.121620, 
171, 0.121592, 
172, 0.121564, 
173, 0.121536, 
174, 0.121508, 
175, 0.121480, 
176, 0.121453, 
177, 0.121426, 
178, 0.121400, 
179, 0.121373, 
180, 0.121347, 
181, 0.121321, 
182, 0.121295, 
183, 0.121269, 
184, 0.121244, 
185, 0.121219, 
186, 0.121194, 
187, 0.121169, 
188, 0.121144, 
189, 0.121120, 
190, 0.121095, 
191, 0.121071, 
192, 0.121047, 
193, 0.121023, 
194, 0.121000, 
195, 0.120976, 
196, 0.120953, 
197, 0.120930, 
198, 0.120907, 
199, 0.120884, 
200, 0.120861, 
201, 0.120838, 
202, 0.120816, 
203, 0.120793, 
204, 0.120771, 
205, 0.120749, 
206, 0.120727, 
207, 0.120705, 
208, 0.120683, 
209, 0.120661, 
210, 0.120640, 
211, 0.120618, 
212, 0.120597, 
213, 0.120576, 
214, 0.120555, 
215, 0.120534, 
216, 0.120513, 
217, 0.120492, 
218, 0.120471, 
219, 0.120451, 
220, 0.120430, 
221, 0.120410, 
222, 0.120389, 
223, 0.120369, 
224, 0.120349, 
225, 0.120329, 
226, 0.120309, 
227, 0.120289, 
228, 0.120269, 
229, 0.120249, 
230, 0.120229, 
231, 0.120210, 
232, 0.120190, 
233, 0.120171, 
234, 0.120151, 
235, 0.120132, 
236, 0.120113, 
237, 0.120094, 
238, 0.120075, 
239, 0.120056, 
240, 0.120037, 
241, 0.120018, 
242, 0.119999, 
243, 0.119980, 
244, 0.119962, 
245, 0.119943, 
246, 0.119925, 
247, 0.119906, 
248, 0.119888, 
249, 0.119869, 
250, 0.119851, 
251, 0.119833, 
252, 0.119815, 
253, 0.119797, 
254, 0.119779, 
255, 0.119761, 
256, 0.119743, 
257, 0.119725, 
258, 0.119707, 
259, 0.119690, 
260, 0.119672, 
261, 0.119654, 
262, 0.119637, 
263, 0.119619, 
264, 0.119602, 
265, 0.119584, 
266, 0.119567, 
267, 0.119550, 
268, 0.119533, 
269, 0.119515, 
270, 0.119498, 
271, 0.119481, 
272, 0.119464, 
273, 0.119447, 
274, 0.119430, 
275, 0.119413, 
276, 0.119396, 
277, 0.119379, 
278, 0.119362, 
279, 0.119346, 
280, 0.119329, 
281, 0.119312, 
282, 0.119296, 
283, 0.119279, 
284, 0.119262, 
285, 0.119246, 
286, 0.119229, 
287, 0.119213, 
288, 0.119196, 
289, 0.119180, 
290, 0.119163, 
291, 0.119147, 
292, 0.119131, 
293, 0.119114, 
294, 0.119098, 
295, 0.119082, 
296, 0.119065, 
297, 0.119049, 
298, 0.119033, 
299, 0.119017, 
300, 0.119001, 
