-476	0	0	0.2	
-412.5	1	0	0.2	
-265.5	2	1	0.2	
-219	3	1	0.2	
-271.5	4	0	0.2	
-467	5	0	0.2	
-419	6	1	0.2	
-369.5	7	0	0.2	
-453	8	0	0.2	
-224.5	9	1	0.2	
-358	10	1	0.2	
-386	11	0	0.2	
-412.5	12	1	0.2	
-398	13	0	0.2	
-631	14	0	0.2	
-274.5	15	0	0.2	
-352	16	0	0.2	
-316.5	17	0	0.2	
-360	18	0	0.2	
-285.5	19	1	0.2	
-265	20	1	0.2	
-387	21	0	0.2	
-325.5	22	1	0.2	
-340.5	23	0	0.2	
-324.5	24	1	0.2	
-289.5	25	0	0.2	
-295	26	1	0.2	
-364	27	1	0.2	
-322	28	1	0.2	
-377.5	29	1	0.2	
-388	30	0	0.2	
-444	31	0	0.2	
-390.5	32	0	0.2	
-406	33	0	0.2	
-458.5	34	0	0.2	
-485.5	35	0	0.2	
-403	36	1	0.2	
-239.5	37	1	0.2	
-389	38	0	0.2	
-433	39	0	0.2	
-334	40	0	0.2	
-465.5	41	0	0.2	
-414	42	1	0.2	
-431.5	43	0	0.2	
-408	44	0	0.2	
-436.5	45	0	0.2	
-431.5	46	1	0.2	
-438.5	47	0	0.2	
-377	48	0	0.2	
-493.5	49	0	0.2	
-360.5	50	0	0.2	
-417.5	51	1	0.2	
-373.5	52	1	0.2	
-387	53	0	0.2	
-455	54	0	0.2	
-374	55	1	0.2	
-544	56	0	0.2	
-315	57	1	0.2	
-325	58	0	0.2	
-261	59	1	0.2	
-407	60	0	0.2	
-382	61	1	0.2	
-380	62	1	0.2	
-281	63	1	0.2	
-417	64	0	0.2	
-527.5	65	0	0.2	
-394.5	66	0	0.2	
-368.5	67	1	0.2	
-538	68	0	0.2	
-328	69	1	0.2	
-446.5	70	0	0.2	
-354	71	1	0.2	
-390.5	72	1	0.2	
-415.7	73	0	0.2	
-422	74	0	0.2	
-488	75	0	0.2	
-290	76	1	0.2	
-470	77	0	0.2	
-433	78	0	0.2	
-378	79	0	0.2	
-482.3	80	0	0.2	
-363.5	81	1	0.2	
-369.5	82	1	0.2	
-288	83	1	0.2	
-409.5	84	0	0.2	
-251	85	1	0.2	
-469	86	0	0.2	
-608.5	87	0	0.2	
-461.5	88	0	0.2	
-427	89	0	0.2	
-480.5	90	0	0.2	
-388.5	91	0	0.2	
-501	92	0	0.2	
-541	93	0	0.2	
-145	94	1	0.2	
-523	95	0	0.2	
-395.5	96	0	0.2	
-340	97	1	0.2	
-220	98	1	0.2	
-482.5	99	0	0.2	38
-417	100	1	0.2	39
-576.5	101	0	0.2	39
-569	102	1	0.2	39
-519.5	103	0	0.2	38
-468	104	0	0.2	38
-433	105	0	0.2	38
-394.5	106	1	0.2	38
-390.5	107	0	0.2	38
-512	108	0	0.2	38
-465	109	0	0.2	37
-510	110	0	0.2	36
-345.5	111	1	0.2	37
-324.5	112	0	0.2	36
-197	113	0	0.2	36
-315.5	114	1	0.2	37
-337	115	1	0.2	38
-470	116	0	0.2	38
-103.5	117	1	0.2	39
-242.5	118	1	0.2	40
-118.5	119	1	0.2	40
-212.5	120	1	0.2	40
-289.5	121	1	0.2	41
-256.5	122	1	0.2	41
-188	123	1	0.2	42
-414	124	0	0.2	41
-364	125	0	0.2	41
